#n	Sage	Naive	Horner	Brent&Kung
40	0.00040	0.00193	0.00029	0.00822
80	0.00330	0.00478	0.00115	0.00670
120	0.01308	0.01763	0.00308	0.00414
160	0.01722	0.02242	0.00337	0.00307
200	0.03540	0.04589	0.00610	0.00418
240	0.06570	0.08376	0.01015	0.00552
280	0.12395	0.15270	0.01564	0.00730
320	0.17053	0.21196	0.01487	0.00802
360	0.24851	0.31832	0.02043	0.05804
400	0.35893	0.44650	0.02709	0.01118
440	0.49852	0.60895	0.03543	0.01340
480	0.68108	0.81968	0.04504	0.01522
520	0.89429	1.05970	0.05553	0.01732
560	1.12544	1.34123	0.06843	0.01979
600	1.33949	1.60562	0.08210	0.02185
640	1.60245	1.94327	0.06702	0.02211
680	1.96693	2.35970	0.07867	0.06780
720	2.38207	2.89182	0.09158	0.02689
760	2.88617	3.52686	0.10707	0.02954
800	3.46199	4.35107	0.12239	0.07591
840	4.20691	5.47863	0.14092	0.03454
880	5.01324	6.22496	0.16055	0.03774
920	5.89662	7.42883	0.17605	0.08203
960	6.81489	8.49299	0.19786	0.08408
1000	7.75691	9.82639	0.22665	0.04726
1040	9.97587	12.10296	0.25025	0.09631
1080	11.18599	14.63883	0.28876	0.05260
1120	13.21505	16.55686	0.32045	0.12360
1160	15.22823	18.45001	0.34082	0.05935
1200	16.77026	20.57520	0.37241	0.10850
1240	18.52752	22.89011	0.29687	0.11696
1280	21.28662	27.08712	0.33287	0.06754
1320	23.97140	28.56478	0.34423	0.11348
1360	26.10647	32.22034	0.37707	0.11741
1400	29.60415	36.62505	0.40447	0.11867
1440	32.16586	39.01540	0.43537	0.12462
1480	35.02069	42.60990	0.46539	0.12806
1520	36.87837	44.98987	0.49787	0.12575
1560	40.11104	48.99143	0.53315	0.13090
1600	43.96410	53.51374	0.56866	0.13789
1640	47.87248	58.17183	0.60927	0.14087
1680	52.31959	63.50108	0.65112	0.14413
1720	56.13756	68.22777	0.69082	0.18561
1760	61.61220	74.63541	0.73199	0.15514
1800	66.57470	80.57936	0.77725	0.15696
1840	72.06137	87.02234	0.82278	0.15924
1880	77.16708	93.05395	0.86638	0.20410
1920	82.84119	99.83312	0.91683	0.16875
1960	89.34465	107.44231	0.96900	0.21501
2000	96.00684	118.17411	1.02763	0.18202
