d	test	naive	kar-0	kar-1	kar-2	kar-5	kar-10	kar-20	kar-40	kar-60	kar-100	sage
2	ok	0.0010	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	ok	0.0000	0.0001	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	ok	0.0001	0.0002	0.0003	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0000
16	ok	0.0003	0.0004	0.0007	0.0006	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0000
32	ok	0.0011	0.0012	0.0019	0.0016	0.0011	0.0009	0.0009	0.0010	0.0011	0.0010	0.0000
64	ok	0.0039	0.0032	0.0053	0.0048	0.0031	0.0026	0.0027	0.0031	0.0032	0.0038	0.0000
128	ok	0.0150	0.0105	0.0178	0.0165	0.0108	0.0077	0.0079	0.0092	0.0092	0.0114	0.0000
256	ok	0.0590	0.0261	0.0431	0.0409	0.0272	0.0229	0.0236	0.0276	0.0275	0.0339	0.0000
512	ok	0.2321	0.0767	0.1271	0.1228	0.0811	0.0684	0.0709	0.0822	0.0836	0.1028	0.0000
1024	ok	0.9210	0.2284	0.3750	0.3679	0.2444	0.2058	0.2119	0.2468	0.2482	0.3063	0.0000
2048	ok	3.6977	0.6737	1.1115	1.0953	0.7296	0.6180	0.6361	0.7413	0.7429	0.9202	0.0001
4096	ok	inf	2.0052	3.3030	3.2749	2.1763	1.8420	1.9214	2.2225	2.2215	2.7641	0.0002
8192	ok	inf	6.0838	10.2293	10.2278	6.7274	5.6730	5.9259	6.9517	6.8975	8.4370	0.0006
16384	ok	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0018
32768	ok	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0035
65536	ok	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0088
131072	ok	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0201
262144	ok	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0447
524288	ok	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.1171
